id,public_metrics
880221127280381952,"{'retweet_count': 3505, 'reply_count': 107, 'like_count': 23887, 'quote_count': 201}"
880221127280381952,"{'retweet_count': 3505, 'reply_count': 107, 'like_count': 23887, 'quote_count': 201}"
880095782870896641,"{'retweet_count': 3694, 'reply_count': 147, 'like_count': 24576, 'quote_count': 172}"
880095782870896641,"{'retweet_count': 3694, 'reply_count': 147, 'like_count': 24576, 'quote_count': 172}"
879862464715927552,"{'retweet_count': 2949, 'reply_count': 71, 'like_count': 19891, 'quote_count': 82}"
879862464715927552,"{'retweet_count': 2949, 'reply_count': 71, 'like_count': 19891, 'quote_count': 82}"
879674319642796034,"{'retweet_count': 9, 'reply_count': 2, 'like_count': 281, 'quote_count': 0}"
879674319642796034,"{'retweet_count': 9, 'reply_count': 2, 'like_count': 281, 'quote_count': 0}"
879492040517615616,"{'retweet_count': 2656, 'reply_count': 69, 'like_count': 20908, 'quote_count': 130}"
879492040517615616,"{'retweet_count': 2656, 'reply_count': 69, 'like_count': 20908, 'quote_count': 130}"
879415818425184262,"{'retweet_count': 37774, 'reply_count': 1137, 'like_count': 93688, 'quote_count': 4353}"
879415818425184262,"{'retweet_count': 37774, 'reply_count': 1137, 'like_count': 93688, 'quote_count': 4353}"
879376492567855104,"{'retweet_count': 2669, 'reply_count': 50, 'like_count': 15002, 'quote_count': 106}"
879376492567855104,"{'retweet_count': 2669, 'reply_count': 50, 'like_count': 15002, 'quote_count': 106}"
879130579576475649,"{'retweet_count': 5784, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
879130579576475649,"{'retweet_count': 5784, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
879050749262655488,"{'retweet_count': 3981, 'reply_count': 126, 'like_count': 20024, 'quote_count': 160}"
879050749262655488,"{'retweet_count': 3981, 'reply_count': 126, 'like_count': 20024, 'quote_count': 160}"
879008229531029506,"{'retweet_count': 2264, 'reply_count': 38, 'like_count': 16946, 'quote_count': 56}"
879008229531029506,"{'retweet_count': 2264, 'reply_count': 38, 'like_count': 16946, 'quote_count': 56}"
878776093423087618,"{'retweet_count': 3476, 'reply_count': 64, 'like_count': 17301, 'quote_count': 68}"
878776093423087618,"{'retweet_count': 3476, 'reply_count': 64, 'like_count': 17301, 'quote_count': 68}"
878604707211726852,"{'retweet_count': 5979, 'reply_count': 129, 'like_count': 26691, 'quote_count': 82}"
878604707211726852,"{'retweet_count': 5979, 'reply_count': 129, 'like_count': 26691, 'quote_count': 82}"
878404777348136964,"{'retweet_count': 1085, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
878404777348136964,"{'retweet_count': 1085, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
878316110768087041,"{'retweet_count': 5579, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
878316110768087041,"{'retweet_count': 5579, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
878281511006478336,"{'retweet_count': 1085, 'reply_count': 33, 'like_count': 6863, 'quote_count': 38}"
878281511006478336,"{'retweet_count': 1085, 'reply_count': 33, 'like_count': 6863, 'quote_count': 38}"
878057613040115712,"{'retweet_count': 5784, 'reply_count': 173, 'like_count': 37510, 'quote_count': 304}"
878057613040115712,"{'retweet_count': 5784, 'reply_count': 173, 'like_count': 37510, 'quote_count': 304}"
877736472329191424,"{'retweet_count': 15951, 'reply_count': 213, 'like_count': 69969, 'quote_count': 635}"
877736472329191424,"{'retweet_count': 15951, 'reply_count': 213, 'like_count': 69969, 'quote_count': 635}"
877611172832227328,"{'retweet_count': 70, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
877611172832227328,"{'retweet_count': 70, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
877556246731214848,"{'retweet_count': 3200, 'reply_count': 80, 'like_count': 20141, 'quote_count': 150}"
877556246731214848,"{'retweet_count': 3200, 'reply_count': 80, 'like_count': 20141, 'quote_count': 150}"
877316821321428993,"{'retweet_count': 4385, 'reply_count': 65, 'like_count': 24381, 'quote_count': 106}"
877316821321428993,"{'retweet_count': 4385, 'reply_count': 65, 'like_count': 24381, 'quote_count': 106}"
877201837425926144,"{'retweet_count': 4676, 'reply_count': 138, 'like_count': 24095, 'quote_count': 268}"
877201837425926144,"{'retweet_count': 4676, 'reply_count': 138, 'like_count': 24095, 'quote_count': 268}"
876838120628539392,"{'retweet_count': 2832, 'reply_count': 47, 'like_count': 18403, 'quote_count': 142}"
876838120628539392,"{'retweet_count': 2832, 'reply_count': 47, 'like_count': 18403, 'quote_count': 142}"
876537666061221889,"{'retweet_count': 4019, 'reply_count': 64, 'like_count': 21257, 'quote_count': 49}"
876537666061221889,"{'retweet_count': 4019, 'reply_count': 64, 'like_count': 21257, 'quote_count': 49}"
876484053909872640,"{'retweet_count': 2019, 'reply_count': 33, 'like_count': 16724, 'quote_count': 47}"
876484053909872640,"{'retweet_count': 2019, 'reply_count': 33, 'like_count': 16724, 'quote_count': 47}"
876120275196170240,"{'retweet_count': 3943, 'reply_count': 67, 'like_count': 24930, 'quote_count': 106}"
876120275196170240,"{'retweet_count': 3943, 'reply_count': 67, 'like_count': 24930, 'quote_count': 106}"
875747767867523072,"{'retweet_count': 3610, 'reply_count': 120, 'like_count': 22361, 'quote_count': 169}"
875747767867523072,"{'retweet_count': 3610, 'reply_count': 120, 'like_count': 22361, 'quote_count': 169}"
875144289856114688,"{'retweet_count': 4188, 'reply_count': 118, 'like_count': 19590, 'quote_count': 199}"
875144289856114688,"{'retweet_count': 4188, 'reply_count': 118, 'like_count': 19590, 'quote_count': 199}"
875097192612077568,"{'retweet_count': 5173, 'reply_count': 57, 'like_count': 24482, 'quote_count': 66}"
